filename,frame_index,timestamp_seconds,source_video
dataset\VideoOneShorten\frames\frame_000065.png,65,10.833333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000066.png,66,11.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000067.png,67,11.166666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000068.png,68,11.333333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000069.png,69,11.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000070.png,70,11.666666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000071.png,71,11.833333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000072.png,72,12.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000073.png,73,12.166666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000074.png,74,12.333333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000075.png,75,12.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000076.png,76,12.666666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000077.png,77,12.833333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000078.png,78,13.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000079.png,79,13.166666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000080.png,80,13.333333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000081.png,81,13.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000082.png,82,13.666666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000083.png,83,13.833333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000084.png,84,14.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000085.png,85,14.166666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000086.png,86,14.333333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000087.png,87,14.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000088.png,88,14.666666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000089.png,89,14.833333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000090.png,90,15.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000091.png,91,15.166666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000092.png,92,15.333333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000093.png,93,15.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000094.png,94,15.666666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000095.png,95,15.833333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000096.png,96,16.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000097.png,97,16.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000098.png,98,16.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000099.png,99,16.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000100.png,100,16.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000101.png,101,16.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000102.png,102,17.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000103.png,103,17.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000104.png,104,17.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000105.png,105,17.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000106.png,106,17.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000107.png,107,17.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000108.png,108,18.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000109.png,109,18.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000110.png,110,18.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000111.png,111,18.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000112.png,112,18.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000113.png,113,18.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000114.png,114,19.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000115.png,115,19.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000116.png,116,19.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000117.png,117,19.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000118.png,118,19.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000119.png,119,19.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000120.png,120,20.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000121.png,121,20.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000122.png,122,20.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000123.png,123,20.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000124.png,124,20.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000125.png,125,20.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000126.png,126,21.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000127.png,127,21.166666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000128.png,128,21.333333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000129.png,129,21.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000130.png,130,21.666666666666668,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000131.png,131,21.833333333333332,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000132.png,132,22.0,videos\VideoOneShorten.mp4
